REPORT Title, URL,Description,Publishing date,EEA Topics,Country/Countries,Region ,Publisher,Data provenance,Other organisations involved,Rights,CATEG1,CATEG2/Copernicus_service,Copernicus Themes
Analysis of user needs and the state of play on urban emissions in the COPERNICUS CO2 MVS (December 2021),https://insitu.copernicus.eu/library/reports/COINS_WP6_Report_2021EEA_final.pdf,,,,,,EEA,,,,General Reports on In Situ Data,Atmosphere,
Homeless data on the state of the atmosphere (October 2021),https://insitu.copernicus.eu/library/reports/copy_of_Deliverable_15_Homeless_Data_Activity_final_report.pdf,,,,,,EEA,,,,General Reports on In Situ Data,Atmosphere,
Report on how EIONET and EEA can contribute to the urban in situ requirements of a future Copernicus anthropogenic CO2 observing system (November 2020),https://insitu.copernicus.eu/library/reports/report-on-how-eionetand-eea-can-contribute-to-the-urban-in-situ-requirements-of-a-future-copernicus-anthropogenic-co2-observing-system,,,,,,EEA,,,,General Reports on In Situ Data,Atmosphere,
Report on European greenhouse gas column cal/val network sustainability (January 2020,https://insitu.copernicus.eu/library/reports/InSitireportGHGnetworkssustainabilityv1.0.pdf,,,,,,EEA,,,,General Reports on In Situ Data,Atmosphere,
Assessment of the current usage of LUCAS survey in Copernicus (January 2024),https://insitu.copernicus.eu/library/reports/assessment-of-the-current-usage-of-lucas-survey-in-copernicus,,,,,,EEA,,,,General Reports on In Situ Data,Land,
Summary assessment of the crowdsourcing initiatives FotoQuest GO and CropObserve (January 2024),https://insitu.copernicus.eu/library/reports/summary-assessment-of-the-crowdsourcing-initiatives-fotoquest-go-and-cropobserve-jan-2024,,,,,,EEA,,,,General Reports on In Situ Data,Land,
Summary report of the methodological improvement of Urban Atlas layer 1.2.00 (January 2024),https://insitu.copernicus.eu/library/reports/summary-report-of-the-methodological-improvement-of-urban-atlas-layer-1-2-00-jan-2024,,,,,,EEA,,,,General Reports on In Situ Data,Land,
CORDA - Status of Content (June 2022),https://insitu.copernicus.eu/library/reports/D2.10_ContentDocumentation_SC5_1.1.pdf,,,,,,EEA,,,,General Reports on In Situ Data,Land,
"Use of in situ data delivered via crowdsourcing initiatives, social media and similar (November 2021)",https://insitu.copernicus.eu/library/reports/EGRPTInSituSC10011_AP5_final_Report_i3r1.pdf,,,,,,EEA,,,,General Reports on In Situ Data,Land,
INSPIRE servicing Copernicus (January 2018),https://insitu.copernicus.eu/library/reports/INSCopeJanuary2018final.pdf,,,,,,EEA,,,,General Reports on In Situ Data,Land,
